feature,type,metric,value,p_value,status,notes
active_days_ratio,numeric,KS,1.0,3.7086361473385255e-15,drift,
engagement_ratio,numeric,KS,1.0,3.7086361473385255e-15,drift,
freq_30d,numeric,KS,1.0,3.7086361473385255e-15,drift,
freq_7d,numeric,KS,0.636150234741784,0.003186837946243199,drift,
freq_90d,numeric,KS,1.0,3.7086361473385255e-15,drift,
last_ts_dt,numeric,KS,1.0,3.7086361473385255e-15,drift,
longest_gap_days,numeric,KS,0.5244802146210596,0.027052499649259418,drift,
std_session_len_min,numeric,KS,0.5804828973843058,0.009877575913905614,drift,
tenure_days,numeric,KS,1.0,3.7086361473385255e-15,drift,
time_as_paid_days,numeric,KS,0.5093896713615024,0.03546254167254033,drift,
total_sessions,numeric,KS,0.6854460093896714,0.001003240850257295,drift,
unique_pages,numeric,KS,0.5429242119382964,0.019771003702282106,drift,
weekend_ratio,numeric,KS,0.5915492957746479,0.008141002273281142,drift,
weekly_std,numeric,KS,0.6807511737089202,0.001126748244934369,drift,
weekly_var,numeric,KS,0.6807511737089202,0.001126748244934369,drift,
account_age_group,categorical,PSI,27.08211574620454,,drift,
current_level,categorical,PSI,6.029010774425334,,drift,
region,categorical,PSI,5.026871431586495,,drift,
signup_cohort,categorical,PSI,0.4954117765896715,,drift,
activity_slope,numeric,KS,0.44366197183098594,0.09504482304632131,ok,
avg_session_len_min,numeric,KS,0.24513749161636486,0.7186099210928328,ok,
diversity_per_session,numeric,KS,0.2780013413816231,0.5671842497694721,ok,
diversity_ratio,numeric,KS,0.3319919517102616,0.35297667555439893,ok,
level_changes,numeric,KS,0.431924882629108,0.11124595368961956,ok,
momentum_ratio,numeric,KS,0.31690140845070425,0.40997469768643674,ok,
night_ratio,numeric,KS,0.38832997987927564,0.19003942278633856,ok,
session_len_change_pct,numeric,KS,0.0,1.0,ok,
sessions_per_active_day,numeric,KS,0.25989268947015426,0.6496473024376558,ok,
total_play_time_min,numeric,KS,0.4624413145539906,0.07300041623403052,ok,
unique_artists,numeric,KS,0.4647887323943662,0.0705587840857799,ok,
unique_songs,numeric,KS,0.4624413145539906,0.07300041623403052,ok,
weekly_mean,numeric,KS,0.32025486250838364,0.39540012000018093,ok,
device,categorical,PSI,0.07163696196539297,,ok,
gender,categorical,PSI,0.07314367398310266,,ok,
